destination_name,city,state,region,category,description,best_season,ideal_days,budget_level,average_cost_per_day,family_friendly,couple_friendly,solo_friendly,average_rating,image
Srinagar,Srinagar,Jammu & Kashmir,North,Hill Station,"The summer capital of Jammu & Kashmir, famous for houseboats, iconic lakes, and beautiful Mughal gardens.",Summer,3,Moderate,3500.0,True,True,True,4.8,destinations/srinagar.jpg
Gulmarg,Gulmarg,Jammu & Kashmir,North,Adventure,"A legendary ski destination and hill station, renowned for the world's second-highest cable car.",Winter,2,Luxury,6000.0,True,True,True,4.9,destinations/gulmarg.jpg
Pahalgam,Pahalgam,Jammu & Kashmir,North,Nature,"A pristine hill station at the confluence of the Lidder River and Sheshnag Lake, famous for lush meadows.",Summer,3,Moderate,3000.0,True,True,True,4.7,destinations/pahalgam.jpg
Leh,Leh,Ladakh,North,Adventure,"A high-altitude desert city in the Himalayas, famous for rugged mountain passes, monasteries, and lakes.",Summer,5,Luxury,5500.0,True,True,True,4.9,destinations/leh.jpg
Manali,Manali,Himachal Pradesh,North,Hill Station,A popular resort town nestled in the mountains near the northern end of the Kullu Valley.,Summer,3,Moderate,2800.0,True,True,True,4.7,destinations/manali.jpg
Shimla,Shimla,Himachal Pradesh,North,Hill Station,"The colonial-era summer capital of British India, known for the toy train, Ridge, and colonial heritage.",Summer,3,Moderate,3000.0,True,True,True,4.6,destinations/shimla.jpg
Dharamshala,Dharamshala,Himachal Pradesh,North,Spiritual,"Home to the Dalai Lama and the Tibetan government-in-exile, surrounded by dense cedar forests.",Spring,3,Budget,1800.0,True,True,True,4.6,destinations/dharamshala.jpg
Dalhousie,Dalhousie,Himachal Pradesh,North,Hill Station,"A quiet hill station built on five hills, boasting colonial-era churches and dense pine forest slopes.",Summer,2,Moderate,2500.0,True,True,True,4.5,destinations/dalhousie.jpg
Mussoorie,Mussoorie,Uttarakhand,North,Hill Station,"Known as the Queen of the Hills, offering breathtaking views of the Doon Valley and Shivalik ranges.",Summer,2,Moderate,3000.0,True,True,True,4.6,destinations/mussoorie.jpg
Nainital,Nainital,Uttarakhand,North,Hill Station,"A beautiful Himalayan resort town set around Nainital Lake, a popular destination for families and couples.",Summer,2,Moderate,2900.0,True,True,True,4.6,destinations/nainital.jpg
Rishikesh,Rishikesh,Uttarakhand,North,Spiritual,"Known as the Yoga Capital of the World, a major hub for spiritual study and adventure sports.",Autumn,3,Budget,1500.0,True,True,True,4.8,destinations/rishikesh.jpg
Haridwar,Haridwar,Uttarakhand,North,Spiritual,"An ancient city where the Ganges emerges from the Himalayas, one of the seven holiest Hindu sites.",Spring,2,Budget,1200.0,True,True,True,4.7,destinations/haridwar.jpg
Auli,Auli,Uttarakhand,North,Adventure,A premier ski resort destination surrounded by coniferous oak forests and majestic peaks.,Winter,3,Luxury,5000.0,True,True,True,4.8,destinations/auli.jpg
Jaipur,Jaipur,Rajasthan,West,Heritage,"The Pink City, capital of Rajasthan, famous for royal palaces, imposing forts, and rich heritage crafts.",Winter,3,Moderate,3200.0,True,True,True,4.8,destinations/jaipur.jpg
Udaipur,Udaipur,Rajasthan,West,Heritage,"The City of Lakes, known for its romantic settings, floating palaces, and gorgeous lakefront ghats.",Winter,3,Luxury,4800.0,True,True,True,4.9,destinations/udaipur.jpg
Jodhpur,Jodhpur,Rajasthan,West,Heritage,"The Blue City, dominated by the massive Mehrangarh Fort towering over blue-painted houses.",Winter,2,Moderate,2800.0,True,True,True,4.7,destinations/jodhpur.jpg
Jaisalmer,Jaisalmer,Rajasthan,West,Heritage,"The Golden City, situated in the heart of the Thar Desert, featuring a living fort and sand dunes.",Winter,3,Moderate,3000.0,True,True,True,4.8,destinations/jaisalmer.jpg
Pushkar,Pushkar,Rajasthan,West,Spiritual,"A holy town surrounding Pushkar Lake, home to the rare Brahma Temple and the famous annual Camel Fair.",Winter,2,Budget,1500.0,True,True,True,4.5,destinations/pushkar.jpg
Ranthambore,Sawai Madhopur,Rajasthan,West,Wildlife,"Famous for its national park and tiger reserves, offering tourists a chance to spot royal Bengal tigers.",Winter,2,Luxury,5000.0,True,True,True,4.8,destinations/ranthambore.jpg
Mount Abu,Mount Abu,Rajasthan,West,Hill Station,"The only hill station in Rajasthan, featuring Dilwara temples and refreshing mountain air.",Summer,2,Moderate,2600.0,True,True,True,4.5,destinations/mount_abu.jpg
Agra,Agra,Uttar Pradesh,North,Heritage,"Home to the Taj Mahal, one of the New Seven Wonders of the World, and former capital of the Mughal Empire.",Winter,2,Moderate,3000.0,True,True,True,4.9,destinations/agra.jpg
Varanasi,Varanasi,Uttar Pradesh,North,Spiritual,"One of the oldest continuously inhabited cities in the world, the spiritual center of Hinduism.",Winter,3,Budget,1600.0,True,True,True,4.9,destinations/varanasi.jpg
Lucknow,Lucknow,Uttar Pradesh,North,Heritage,"The City of Nawabs, famous for its architecture, rich Awadhi cuisine, and classical culture.",Winter,2,Moderate,2500.0,True,True,True,4.7,destinations/lucknow.jpg
Khajuraho,Khajuraho,Madhya Pradesh,Central,Heritage,A UNESCO World Heritage site famous for its magnificent Nagara-style Hindu and Jain temples.,Winter,2,Moderate,2800.0,True,True,True,4.8,destinations/khajuraho.jpg
Pachmarhi,Pachmarhi,Madhya Pradesh,Central,Nature,"Known as the Queen of Satpura, a green hill station with waterfalls, caves, and scenic viewpoints.",Summer,2,Budget,2000.0,True,True,True,4.6,destinations/pachmarhi.jpg
Orchha,Orchha,Madhya Pradesh,Central,Heritage,"A medieval town frozen in time, displaying spectacular forts and chhatris along the Betwa River.",Winter,2,Budget,1800.0,True,True,True,4.7,destinations/orchha.jpg
Gwalior,Gwalior,Madhya Pradesh,Central,Heritage,"Famous for its imposing Gwalior Fort, ancient temples, palaces, and musical legacy.",Winter,2,Moderate,2200.0,True,True,True,4.6,destinations/gwalior.jpg
Mumbai,Mumbai,Maharashtra,West,City,"The financial capital of India, a bustling metropolis known as the City of Dreams.",Winter,3,Luxury,5000.0,True,True,True,4.8,destinations/mumbai.jpg
Pune,Pune,Maharashtra,West,City,"The cultural capital of Maharashtra, known as the Oxford of the East.",Winter,2,Moderate,2400.0,True,True,True,4.5,destinations/pune.jpg
Mahabaleshwar,Mahabaleshwar,Maharashtra,West,Hill Station,"A popular Western Ghats hill station, famous for strawberry farms, viewpoints, and lakes.",Winter,2,Moderate,2800.0,True,True,True,4.6,destinations/mahabaleshwar.jpg
Lonavala,Lonavala,Maharashtra,West,Hill Station,"A green getaway in the Sahyadri mountains, famous for lush valleys, chikki, and ancient caves.",Monsoon,2,Moderate,2600.0,True,True,True,4.6,destinations/lonavala.jpg
North Goa,Panaji,Goa,West,Beach,"Famous for its golden beaches, night bazaars, parties, and water adventure activities.",Winter,3,Moderate,3500.0,True,True,True,4.8,destinations/north_goa.jpg
South Goa,Margao,Goa,West,Beach,"Best known for quiet beaches, Portuguese architecture mansions, and peaceful resorts.",Winter,3,Luxury,4500.0,True,True,True,4.7,destinations/south_goa.jpg
Hampi,Hampi,Karnataka,South,Heritage,A UNESCO World Heritage site featuring ruins of the Vijayanagara Empire situated amidst boulder hills.,Winter,3,Budget,1800.0,True,True,True,4.9,destinations/hampi.jpg
Coorg,Madikeri,Karnataka,South,Hill Station,"Often called the Scotland of India, famous for coffee plantations and mist-covered hills.",Autumn,3,Moderate,2800.0,True,True,True,4.7,destinations/coorg.jpg
Mysore,Mysore,Karnataka,South,Heritage,"The cultural capital of Karnataka, famous for its grand palaces, temples, and sandalwood.",Winter,2,Moderate,2400.0,True,True,True,4.8,destinations/mysore.jpg
Bengaluru,Bengaluru,Karnataka,South,City,"The Silicon Valley of India, known for parks, tech hubs, microbreweries, and museums.",Winter,2,Luxury,4000.0,True,True,True,4.6,destinations/bengaluru.jpg
Gokarna,Gokarna,Karnataka,South,Beach,"A pilgrimage town turned beach paradise, offering rocky coastline cliffs and temples.",Winter,2,Budget,1600.0,True,True,True,4.6,destinations/gokarna.jpg
Ooty,Ooty,Tamil Nadu,South,Hill Station,"The Queen of Hill Stations, located in the blue Nilgiri Hills, famous for tea gardens.",Summer,3,Moderate,2800.0,True,True,True,4.6,destinations/ooty.jpg
