attraction_name,destination_name,category,description,entry_fee,opening_time,closing_time,average_visit_time,image
Dal Lake,Srinagar,Nature,Scenic lake famous for shikaras and wooden houseboats.,0.0,06:00:00,21:00:00,120,attractions/dal_lake.jpg
Shalimar Bagh Mughal Garden,Srinagar,Heritage,Beautiful garden built by Mughal Emperor Jahangir.,25.0,09:00:00,18:00:00,90,attractions/shalimar_bagh_mughal_garden.jpg
Nishat Bagh,Srinagar,Heritage,Terraced Mughal garden offering panoramic views of Dal Lake.,25.0,09:00:00,18:00:00,90,attractions/nishat_bagh.jpg
Shankaracharya Temple,Srinagar,Spiritual,Ancient temple dedicated to Lord Shiva on a hilltop.,0.0,07:00:00,20:00:00,60,attractions/shankaracharya_temple.jpg
Indira Gandhi Memorial Tulip Garden,Srinagar,Nature,"The largest tulip garden in Asia, showcasing vibrant blooms.",50.0,09:00:00,19:00:00,120,attractions/indira_gandhi_memorial_tulip_garden.jpg
Hazratbal Shrine,Srinagar,Spiritual,White marble Islamic shrine housing a holy relic.,0.0,05:00:00,21:00:00,60,attractions/hazratbal_shrine.jpg
Gulmarg Gondola,Gulmarg,Adventure,One of the highest cable cars in Asia offering snow views.,900.0,10:00:00,17:00:00,180,attractions/gulmarg_gondola.jpg
Khilanmarg,Gulmarg,Nature,A small valley offering spectacular views of the Himalayas.,0.0,08:00:00,16:00:00,120,attractions/khilanmarg.jpg
Gulmarg Golf Course,Gulmarg,Adventure,A beautiful 18-hole golf course located at a high altitude.,100.0,09:00:00,18:00:00,90,attractions/gulmarg_golf_course.jpg
St. Mary's Church Gulmarg,Gulmarg,Heritage,A historic Victorian style church built during the British era.,0.0,10:00:00,17:00:00,45,attractions/st._mary's_church_gulmarg.jpg
Alpathar Lake,Gulmarg,Nature,A high altitude lake that remains frozen until mid-June.,0.0,08:00:00,15:00:00,150,attractions/alpathar_lake.jpg
Baisaran Valley,Pahalgam,Nature,"Known as Mini Switzerland, featuring pine forests and meadows.",50.0,08:00:00,18:00:00,120,attractions/baisaran_valley.jpg
Aru Valley,Pahalgam,Nature,A scenic village known for its tranquil meadows and activities.,0.0,08:00:00,18:00:00,180,attractions/aru_valley.jpg
Betaab Valley,Pahalgam,Nature,"Named after a famous Bollywood movie, featuring crystal streams.",100.0,08:00:00,18:00:00,120,attractions/betaab_valley.jpg
Lidder Amusement Park,Pahalgam,Adventure,A small amusement park next to the rushing Lidder river.,150.0,10:00:00,19:00:00,90,attractions/lidder_amusement_park.jpg
Sheshnag Lake,Pahalgam,Nature,A high-altitude oligotrophic lake reachable by trekking.,0.0,07:00:00,17:00:00,240,attractions/sheshnag_lake.jpg
