package_name,destination_name,duration,package_type,price,description,image
Budget Exploration of Srinagar,Srinagar,3,Budget,7350.0,An affordable package to explore the best highlights of Srinagar including basic lodgings.,packages/srinagar-budget.jpg
Standard Experience in Srinagar,Srinagar,4,Standard,14000.0,Enjoy a comfortable tour of Srinagar with standard accommodations and guided sightseeing tours.,packages/srinagar-standard.jpg
Luxury Gateway to Srinagar,Srinagar,5,Luxury,31500.0,"Indulge in premium luxury travel to Srinagar featuring boutique resorts, private cars, and personal guides.",packages/srinagar-luxury.jpg
Budget Exploration of Gulmarg,Gulmarg,2,Budget,8400.0,An affordable package to explore the best highlights of Gulmarg including basic lodgings.,packages/gulmarg-budget.jpg
Standard Experience in Gulmarg,Gulmarg,3,Standard,18000.0,Enjoy a comfortable tour of Gulmarg with standard accommodations and guided sightseeing tours.,packages/gulmarg-standard.jpg
Luxury Gateway to Gulmarg,Gulmarg,4,Luxury,43200.0,"Indulge in premium luxury travel to Gulmarg featuring boutique resorts, private cars, and personal guides.",packages/gulmarg-luxury.jpg
Budget Exploration of Pahalgam,Pahalgam,3,Budget,6300.0,An affordable package to explore the best highlights of Pahalgam including basic lodgings.,packages/pahalgam-budget.jpg
Standard Experience in Pahalgam,Pahalgam,4,Standard,12000.0,Enjoy a comfortable tour of Pahalgam with standard accommodations and guided sightseeing tours.,packages/pahalgam-standard.jpg
Luxury Gateway to Pahalgam,Pahalgam,5,Luxury,27000.0,"Indulge in premium luxury travel to Pahalgam featuring boutique resorts, private cars, and personal guides.",packages/pahalgam-luxury.jpg
Budget Exploration of Leh,Leh,5,Budget,19250.0,An affordable package to explore the best highlights of Leh including basic lodgings.,packages/leh-budget.jpg
Standard Experience in Leh,Leh,6,Standard,33000.0,Enjoy a comfortable tour of Leh with standard accommodations and guided sightseeing tours.,packages/leh-standard.jpg
Luxury Gateway to Leh,Leh,7,Luxury,69300.0,"Indulge in premium luxury travel to Leh featuring boutique resorts, private cars, and personal guides.",packages/leh-luxury.jpg
Budget Exploration of Manali,Manali,3,Budget,5880.0,An affordable package to explore the best highlights of Manali including basic lodgings.,packages/manali-budget.jpg
Standard Experience in Manali,Manali,4,Standard,11200.0,Enjoy a comfortable tour of Manali with standard accommodations and guided sightseeing tours.,packages/manali-standard.jpg
