Destination,Number of Travelers,Number of Days,Package Type,Season,Estimated Cost
Varkala,7,13,Luxury,Autumn,164443.87
Rann of Kutch,8,11,Budget,Spring,236592.78
Khajuraho,6,3,Budget,Winter,30380.98
Gulmarg,5,12,Budget,Spring,189446.02
Shillong,5,6,Budget,Summer,50338.45
Kaziranga,6,14,Luxury,Monsoon,326452.92
Kalimpong,8,4,Budget,Monsoon,21780.15
Port Blair,2,7,Budget,Spring,29889.49
Jaipur,2,2,Budget,Winter,9269.64
Kaziranga,4,7,Budget,Monsoon,50381.35
Mysore,8,2,Standard,Winter,28534.2
Pushkar,4,10,Standard,Winter,48664.79
Tawang,6,4,Luxury,Spring,76622.36
Kumarakom,2,8,Budget,Spring,47710.94
Kaziranga,5,12,Budget,Autumn,143400.32
Coorg,1,3,Luxury,Autumn,13678.63
Chennai,7,12,Budget,Spring,96268.49
Lucknow,8,14,Budget,Monsoon,104610.12
Rameswaram,6,8,Luxury,Monsoon,60164.71
Pahalgam,5,1,Standard,Monsoon,8387.26
Mussoorie,2,10,Budget,Monsoon,28850.14
Varkala,8,13,Standard,Autumn,116300.32
Lucknow,5,7,Luxury,Monsoon,80944.74
Mumbai,2,2,Budget,Summer,14637.24
Shimla,4,12,Standard,Monsoon,76556.21
Tawang,1,1,Budget,Monsoon,1787.05
Tawang,4,9,Budget,Summer,64467.99
Gwalior,6,9,Budget,Summer,70557.73
Kochi,4,10,Luxury,Monsoon,90242.27
Varkala,6,1,Budget,Winter,6217.91
Varkala,6,12,Luxury,Winter,163372.05
Gangtok,3,1,Budget,Winter,6393.96
Gulmarg,6,12,Luxury,Autumn,472200.34
Gulmarg,4,5,Standard,Spring,78689.1
Kalimpong,8,11,Luxury,Summer,187031.77
Araku Valley,3,6,Luxury,Summer,46881.95
Port Blair,3,12,Standard,Autumn,91630.39
Mysore,2,3,Luxury,Monsoon,14998.49
Mount Abu,4,7,Budget,Summer,44604.59
Srinagar,4,11,Budget,Summer,88933.95
Thekkady,7,7,Standard,Winter,115245.06
Kaziranga,2,1,Budget,Spring,5267.07
Tirupati,8,5,Luxury,Summer,146778.65
Pahalgam,8,4,Standard,Summer,70466.64
Khajuraho,3,4,Budget,Spring,18563.64
Pachmarhi,2,13,Standard,Winter,50766.05
Bhubaneswar,3,6,Budget,Summer,23127.95
Dalhousie,3,7,Budget,Summer,34632.48
Wayanad,3,12,Luxury,Autumn,107523.0
Gwalior,5,2,Standard,Summer,18469.01
Mumbai,5,1,Budget,Monsoon,10810.77
Jaisalmer,4,12,Standard,Autumn,97971.33
Munnar,6,5,Luxury,Spring,96908.62
Kaziranga,4,1,Luxury,Autumn,19411.68
North Goa,1,7,Luxury,Winter,47708.07
Shillong,8,3,Standard,Winter,50493.22
North Goa,7,6,Standard,Monsoon,74049.44
South Goa,3,9,Standard,Autumn,86991.82
Mahabalipuram,2,7,Luxury,Winter,47796.13
Kanyakumari,1,4,Standard,Spring,7754.79
Udaipur,2,12,Standard,Monsoon,77141.1
Varanasi,2,10,Standard,Summer,29572.75
Varkala,6,10,Luxury,Monsoon,92278.48
Kumarakom,4,12,Budget,Spring,118881.08
Shimla,8,13,Standard,Monsoon,160253.92
